year,countrycode,pop,imm,gdppc,lngdppc
1998,JAM,2.608873,88,7926.25530383155,8.97793598416167
1998,JOR,4.943975,93,6939.87741280927,8.84503938948451
1998,KAZ,15.0713,99,8715.1845137137,9.07282212969944
1998,KEN,30.250488,90,2153.79477210205,7.67498657560149
1998,KIR,0.081556,77,1967.88284599653,7.58471354636694
1998,PRK,22.536753,49,NA,NA
1998,KWT,1.831119,99,76157.461147305,11.2405583331337
1998,KGZ,4.769,98,1949.83293080948,7.57549897137939
1998,LAO,5.144602,71,2267.47914722301,7.72642398557347
1998,LVA,2.410019,97,10149.2728483834,9.22515734135027
1998,LBN,3.69352,83,10957.4515975112,9.30177501499014
1998,LSO,1.997516,79,1596.50744255935,7.37557367394125
1998,LBY,5.19678,92,NA,NA
1998,LTU,3.549331,97,11708.2529501933,9.36804925248045
